Study,Parameter,Estimate,95 CI Low,95 CI High,Population
Us,Incubation period (days),6.289,,,
Us,Infectious period (days),2.276,,,
McAloon et al.,Incubation period (days),6.5,,,Study
McAloon et al.,Incubation period (days),5.5,,,Study
McAloon et al.,Incubation period (days),5.2,,,Study
McAloon et al.,Incubation period (days),4.8,,,Study
McAloon et al.,Incubation period (days),4.9,,,Study
McAloon et al.,Incubation period (days),5.6,,,Study
McAloon et al.,Incubation period (days),5.2,,,Study
McAloon et al.,Incubation period (days),7.4,,,Study
McAloon et al.,Incubation period (days),7.2,,,Study
Donnelly et al.,Infectious period (days),3.43,,,Drop
Li et al.,Infectious period (days),8.09,,,Drop
Ahammed et al.,Reproduction number,2.69,2.4,2.98,Pooled
Ahammed et al.,Fatality rate per 1000,2.67,2.25,3.13,Pooled
Us,Reproduction number,1.705363052,,,
Us,Fatality rate per 1000,2.29,,,
McAloon et al.,Incubation period (days),5.8,1.92,13.6,Pooled
Ahammed et al.,Fatality rate per 1000,7.11,,,Region
Ahammed et al.,Fatality rate per 1000,2.51,,,Region
Ahammed et al.,Fatality rate per 1000,2.66,,,Region
Ahammed et al.,Fatality rate per 1000,3.4,,,Region
Ahammed et al.,Fatality rate per 1000,3.45,,,Region
Ahammed et al.,Fatality rate per 1000,2.89,,,Region
Ahammed et al.,Reproduction number,2.4,,,Region
Ahammed et al.,Reproduction number,2.56,,,Region
Ahammed et al.,Reproduction number,2.7,,,Region
Ahammed et al.,Reproduction number,3.69,,,Region
Ahammed et al.,Reproduction number,2.32,,,Region
